SessionN,Session,Monkey,NS_after_NC,NS_after_NS,NC_after_C,Error_hi,Error_lo,Stop_hi,Stop_lo
10,xensef20120406b-01,Xena,276.080536912752,267.149019607843,337.260504201681,1.26840855106888,0.959869397908812,1.98351264496297,1.17618226674197
11,xensef20120410b-01,Xena,249.679738562092,244.323741007194,313.281818181818,1.20416251602288,1.06621679783571,1.73994374867332,1.38952287260207
12,xensef20120413d-01,Xena,256.007462686567,247.658653846154,316.801724137931,1.2264823395227,1.14395432154053,1.74560816253468,1.49440214957456
13,xensef20120416b-01,Xena,284.62,260.84347826087,348.878787878788,1.20097626969908,1.1375123071874,1.7358952795349,1.33003990119704
14,eulsef20120910c-01,Euler,327,253.568965517241,323.839506172839,1.29892046458578,1.43551417136323,1.86458602362472,1.13364779874214
15,eulsef20120911c-01,Euler,352.669902912621,293.581967213115,351.568,1.53940126815807,0.926670943807288,2.20285361404379,0.804752141145184
16,eulsef20120912c-01,Euler,351.584269662921,315.808988764045,371.752212389381,1.65225820665345,0.832879293303682,2.47362225789192,0.811770099765258
17,eulsef20120913c-01,Euler,337.938271604938,299.602739726027,365.396396396396,1.64202410579222,1.08060477657935,2.44860033507377,0.857692205515116
18,eulsef20120914c-01,Euler,356.128205128205,299.709302325581,319.372549019608,1.84009760858956,0.926667827904546,2.36816739873109,0.794983452360216
19,eulsef20120915c-01,Euler,359.289719626168,291.206611570248,402.384105960265,1.50931470392548,1.10766340393667,2.14707044244844,1.15255178156333
20,xensef20120420a-01,Xena,264.917647058824,250.789743589744,306.022857142857,1.18028913842244,1.03751021019095,1.5627981148463,1.28243326537386
21,xensef20120423b-final,Xena,299.939130434783,257.833333333333,320.270833333333,1.37492990841366,1.08863987551733,1.58718971737105,1.27844969114295
22,xensef20120424c-final,Xena,291.856115107914,262.740350877193,342.163120567376,1.39118443182401,0.994728830758823,2.06598096812464,1.10379975194498
23,xensef20120425c-final,Xena,284.755319148936,275.479452054795,333.978021978022,1.21860697707285,1.17986293260099,1.88899419582016,1.20083775972504
24,xensef20120426c-01,Xena,278.258064516129,275.366379310345,350.552083333333,1.24410392132298,1.05578217868941,1.94296416938111,1.18126353199464
25,xensef20120427c-01,Xena,237.965517241379,256.509259259259,355.610169491525,1.11485294818628,0.957794918027313,2.04812855183226,1.47166182510267
26,xensef20120514d-final,Xena,295.238095238095,295.291666666667,406.928571428571,1.19293938367762,1.12478952291862,1.88960379275313,1.80243217960711
27,xensef20120515c-final,Xena,291.471698113208,275.793103448276,397.766666666667,1.39638302409895,1.01379458825291,2.32275210394212,1.4955442949502
28,xensef20120516c-final,Xena,244.333333333333,262.747474747475,339.591836734694,1.16878698224852,0.864617090226846,1.9891124260355,1.07453522087668
29,xensef20120517d-final,Xena,273.469135802469,278.951923076923,439.569620253165,1.18795973674022,1.114622715816,2.3521164021164,1.88002126654064
