sessionN,session,monkey,noncanc_hi,noncanc_lo,nostop_hi,nostop_lo,hiFlag,hiDiff,loFlag,loDiff,both,nostop_val,noncanc_val,ssrtDiff,ssrtHigh,ssrtLow
74,jou-cmand1DR-20210413,joule,267.16160774231,310.968399047852,273.98157119751,367.841243743896,1,-6.8199634552002,1,-56.8728446960449,1,-93.8596725463867,-43.806791305542,17.7200980229512,115.863430250737,98.1433322277855
75,dar-cmand1DR-20210419,darwin,291.000366210938,372.694969177246,332.861423492432,416.030645370483,1,-41.8610572814941,1,-43.3356761932373,1,-83.1692218780518,-81.6946029663086,28.5351601870436,141.106896102428,112.571735915385
76,dar-cmand1DR-20210420,darwin,303.677439689636,386.007070541382,344.964981079102,398.848056793213,1,-41.2875413894653,1,-12.8409862518311,1,-53.8830757141113,-82.3296308517456,47.1037282686999,136.380439461348,89.2767111926484
77,jou-cmand1DR-20210421,joule,254.68921661377,318.341135978699,258.68284702301,338.00196647644,1,-3.99363040924072,1,-19.6608304977417,1,-79.3191194534302,-63.6519193649292,12.9508479175713,143.617311914459,130.666463996887
78,dar-cmand1DR-20210426,darwin,316.006422042847,397.025346755981,350.003242492676,424.959897994995,1,-33.9968204498291,1,-27.9345512390137,1,-74.9566555023193,-81.0189247131348,1.74270773003498,117.013472934214,115.270765204179
79,dar-cmand1DR-20210427,darwin,299.294710159302,409.497618675232,332.533836364746,430.65333366394,1,-33.2391262054443,1,-21.1557149887085,1,-98.1194972991943,-110.20290851593,11.1988983261121,113.425442971379,102.226544645267
80,jou-cmand1DR-20210428,joule,247.685194015503,327.024698257446,252.026796340942,345.497608184814,1,-4.34160232543945,1,-18.4729099273682,1,-93.4708118438721,-79.3395042419434,-23.2441351821312,81.4292272137057,104.673362395837
81,jou-cmand1DR-20210430,joule,248.319983482361,325.345277786255,252.682209014893,347.996234893799,1,-4.36222553253174,1,-22.6509571075439,1,-95.3140258789063,-77.025294303894,5.7439553791189,101.197035081459,95.4530797023399
82,jou-cmand1DR-20210503,joule,243.343472480774,319.344639778137,247.685194015503,355.696678161621,1,-4.341721534729,1,-36.3520383834839,1,-108.011484146118,-76.0011672973633,14.4028044557761,109.616821641964,95.2140171861879
83,jou-cmand1DR-20210505,joule,245.821595191956,336.015224456787,251.699209213257,354.713678359985,1,-5.87761402130127,1,-18.6984539031982,1,-103.014469146729,-90.1936292648315,-11.1714072927168,90.2064982983244,101.377905591041
84,jou-cmand1DR-20210508,joule,238.01851272583,316.702842712402,245.309591293335,339.5174741745,1,-7.29107856750488,1,-22.8146314620972,1,-94.2078828811646,-78.6843299865723,4.625540450049,128.70791010271,124.082369652661
85,jou-cmand1DR-20210510,joule,262.000679969788,316.334009170532,262.860774993896,342.507481575012,1,-0.860095024108887,1,-26.17347240448,1,-79.6467065811157,-54.3333292007446,-61.7327751355622,75.7064601363839,137.439235271946
86,jou-cmand1DR-20210513,joule,260.85376739502,335.994958877563,265.011191368103,351.84633731842,1,-4.1574239730835,1,-15.8513784408569,1,-86.8351459503174,-75.1411914825439,-15.4262177038493,86.9856157461802,102.411833450029
87,jou-cmand1DR-20210517,joule,267.01831817627,344.146013259888,283.996224403381,359.485387802124,1,-16.9779062271118,1,-15.3393745422363,1,-75.4891633987427,-77.1276950836182,-2.1935005076069,98.9719630063065,101.165463513913
88,jou-cmand1DR-20210518,joule,259.010434150696,323.993444442749,268.656611442566,351.027250289917,1,-9.64617729187012,1,-27.033805847168,1,-82.3706388473511,-64.9830102920532,4.68187831039492,117.318063644042,112.636185333647
89,dar-cmand1DR-20210521,darwin,292.003870010376,381.993055343628,329.686880111694,417.013883590698,1,-37.6830101013184,1,-35.0208282470703,1,-87.3270034790039,-89.989185333252,25.0317222683407,146.522476590913,121.490754322572
90,dar-cmand1DR-20210522,darwin,305.827856063843,415.846347808838,335.011959075928,441.016435623169,1,-29.184103012085,1,-25.1700878143311,1,-106.004476547241,-110.018491744995,3.94546020705687,137.426444162721,133.480983955664
91,dar-cmand1DR-20210524,darwin,300.032138824463,393.707513809204,324.689865112305,425.984144210815,1,-24.6577262878418,1,-32.2766304016113,1,-101.294279098511,-93.6753749847412,-30.2244815507372,120.245552212937,150.470033763674
92,dar-cmand1DR-20210525,darwin,297.32871055603,376.996040344238,317.644834518433,415.989875793457,1,-20.3161239624023,1,-38.9938354492188,1,-98.3450412750244,-79.667329788208,21.0612691620649,133.184517860413,112.123248698348
93,dar-cmand1DR-20210528,darwin,285.163640975952,386.86728477478,318.85302066803,412.999629974365,1,-33.6893796920776,1,-26.132345199585,1,-94.1466093063354,-101.703643798828,12.6380215219371,130.217669502137,117.5796479802
94,dar-cmand1DR-20210603,darwin,315.514922142029,413.163542747498,354.017376899719,438.026189804077,1,-38.5024547576904,1,-24.8626470565796,1,-84.0088129043579,-97.6486206054688,7.6302387307063,129.222708714159,121.592469983453
95,jou-cmand1DR-20210607,joule,250.306487083435,356.003880500793,251.002788543701,367.697954177856,1,-0.696301460266113,1,-11.694073677063,1,-116.695165634155,-105.697393417358,35.5317268146769,136.606562870305,101.074836055628
96,dar-cmand1DR-20210607,darwin,313.487410545349,405.995607376099,333.803534507751,427.007913589478,1,-20.3161239624023,1,-21.0123062133789,1,-93.2043790817261,-92.5081968307495,12.4014427136926,134.864584893891,122.463142180199
97,jou-cmand1DR-20210608,joule,243.015766143799,338.329792022705,248.012900352478,348.139524459839,1,-4.9971342086792,1,-9.80973243713379,1,-100.126624107361,-95.3140258789063,-48.8051471011771,87.8849219220429,136.69006902322
98,jou-cmand1DR-20210610,joule,251.65843963623,327.024698257446,257.310628890991,350.351452827454,1,-5.65218925476074,1,-23.3267545700073,1,-93.0408239364624,-75.3662586212158,-32.5187607105304,139.058811880357,171.577572590887
99,dar-cmand1DR-20210610,darwin,301.998138427734,370.032787322998,339.005470275879,412.999629974365,1,-37.0073318481445,1,-42.9668426513672,1,-73.9941596984863,-68.0346488952637,4.04970363772549,127.182406356282,123.132702718557
100,jou-cmand1DR-20210611,joule,262.000679969788,322.9900598526,267.01831817627,342.507481575012,1,-5.01763820648193,1,-19.5174217224121,1,-75.4891633987427,-60.9893798828125,27.1705415001356,167.351940823957,140.181399323822
101,dar-cmand1DR-20210611,darwin,278.159379959106,380.477428436279,288.317441940308,412.016630172729,1,-10.1580619812012,1,-31.5392017364502,1,-123.699188232422,-102.318048477173,-27.7774416141135,125.070215574798,152.847657188912
102,dar-cmand1DR-20210612,darwin,288.993358612061,375.009298324585,318.013429641724,410.992622375488,1,-29.0200710296631,1,-35.9833240509033,1,-92.9791927337646,-86.0159397125244,-14.1482373178858,113.193777170074,127.34201448796
103,jou-cmand1DR-20210613,joule,258.990049362183,358.502388000488,272.015333175659,380.026817321777,1,-13.0252838134766,1,-21.5244293212891,1,-108.011484146118,-99.5123386383057,-18.7609587770527,127.651613787186,146.412572564239
104,dar-cmand1DR-20210613,darwin,271.175622940063,364.994525909424,296.01788520813,408.002614974976,1,-24.8422622680664,1,-43.0080890655518,1,-111.984729766846,-93.8189029693604,7.16252010801564,116.13765122234,108.975131114324
105,jou-cmand1DR-20210614,joule,261.816263198853,352.706432342529,267.01831817627,380.682229995728,1,-5.20205497741699,1,-27.9757976531982,1,-113.663911819458,-90.8901691436768,-15.7024686298492,149.268017241449,164.970485871298
